Eis	noun	neuter	wasser im festen aggregatzustand; gefrorenes wasser	kompakte substanz, die durch das einfrieren von wasser in den festen zustand entsteht sie tritt im allgemeinen in form von hexagonalen kristallen auf.	broader
Eis	noun	neuter	wasser im festen aggregatzustand; gefrorenes wasser	kompakte substanz, die durch das einfrieren von wasser in den festen zustand entsteht sie tritt im allgemeinen in form von hexagonalen kristallen auf.	narrower
Eis	noun	neuter	wasser im festen aggregatzustand; gefrorenes wasser	ein kaltes dessert (bestehend aus wasser, sahne und milch, sowie aromastoffen, emulgatoren und zucker), das bei heißem wetter beliebt ist.	none
Eis	noun	neuter	speiseeis, eine gefrorene süßspeise	kompakte substanz, die durch das einfrieren von wasser in den festen zustand entsteht sie tritt im allgemeinen in form von hexagonalen kristallen auf.	none
Eis	noun	neuter	speiseeis, eine gefrorene süßspeise	ein kaltes dessert (bestehend aus wasser, sahne und milch, sowie aromastoffen, emulgatoren und zucker), das bei heißem wetter beliebt ist.	narrower
Eis	noun	neuter	speiseeis, eine gefrorene süßspeise	ein kaltes dessert (bestehend aus wasser, sahne und milch, sowie aromastoffen, emulgatoren und zucker), das bei heißem wetter beliebt ist.	broader
Zug	noun	neuter	mehrere hintereinander gekoppelte fahrzeuge (speziell auf schienen)	eine gruppe aneinandergekoppelter eisenbahnwagen, die meist von einer lokomotive gezogen oder geschoben werden.	broader
Zug	noun	neuter	mehrere hintereinander gekoppelte fahrzeuge (speziell auf schienen)	eine gruppe aneinandergekoppelter eisenbahnwagen, die meist von einer lokomotive gezogen oder geschoben werden.	narrower
Zug	noun	neuter	mehrere hintereinander gekoppelte fahrzeuge (speziell auf schienen)	charakteristische eigenschaft eines wesens oder einer sache.	none
Zug	noun	neuter	mehrere hintereinander gekoppelte fahrzeuge (speziell auf schienen)	ein kleine kanton in der schweiz.	none
Zug	noun	neuter	kraft, die in eine bestimmte richtung zieht	eine gruppe aneinandergekoppelter eisenbahnwagen, die meist von einer lokomotive gezogen oder geschoben werden.	none
Zug	noun	neuter	kraft, die in eine bestimmte richtung zieht	charakteristische eigenschaft eines wesens oder einer sache.	none
Zug	noun	neuter	kraft, die in eine bestimmte richtung zieht	ein kleine kanton in der schweiz.	none
Zug	noun	neuter	das einwirken auf etwas, um es zu sich hin zu bewegen; gegen die kräfte des festhaltens oder des inneren zusammenhalts wirkende kraft	eine gruppe aneinandergekoppelter eisenbahnwagen, die meist von einer lokomotive gezogen oder geschoben werden.	none
Zug	noun	neuter	das einwirken auf etwas, um es zu sich hin zu bewegen; gegen die kräfte des festhaltens oder des inneren zusammenhalts wirkende kraft	charakteristische eigenschaft eines wesens oder einer sache.	none
Zug	noun	neuter	das einwirken auf etwas, um es zu sich hin zu bewegen; gegen die kräfte des festhaltens oder des inneren zusammenhalts wirkende kraft	ein kleine kanton in der schweiz.	none
Zug	noun	neuter	luftzug; starker luftdurchgang (vor allem in gebäuden)	eine gruppe aneinandergekoppelter eisenbahnwagen, die meist von einer lokomotive gezogen oder geschoben werden.	none
Zug	noun	neuter	luftzug; starker luftdurchgang (vor allem in gebäuden)	charakteristische eigenschaft eines wesens oder einer sache.	none
Zug	noun	neuter	luftzug; starker luftdurchgang (vor allem in gebäuden)	ein kleine kanton in der schweiz.	none
Zug	noun	neuter	bewegen einer brettspielfigur von einem feld auf ein anderes	eine gruppe aneinandergekoppelter eisenbahnwagen, die meist von einer lokomotive gezogen oder geschoben werden.	none
Zug	noun	neuter	bewegen einer brettspielfigur von einem feld auf ein anderes	charakteristische eigenschaft eines wesens oder einer sache.	none
Zug	noun	neuter	bewegen einer brettspielfigur von einem feld auf ein anderes	ein kleine kanton in der schweiz.	none
Zug	noun	neuter	kleinere organisationseinheit in einer hierarchie	eine gruppe aneinandergekoppelter eisenbahnwagen, die meist von einer lokomotive gezogen oder geschoben werden.	none
Zug	noun	neuter	kleinere organisationseinheit in einer hierarchie	charakteristische eigenschaft eines wesens oder einer sache.	none
Zug	noun	neuter	kleinere organisationseinheit in einer hierarchie	ein kleine kanton in der schweiz.	none
Zug	noun	neuter	drittgrößte gliederungsform einer militärischen teileinheit	eine gruppe aneinandergekoppelter eisenbahnwagen, die meist von einer lokomotive gezogen oder geschoben werden.	none
